Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score
Panobinostat	ENSG00000111605	0.3248050275791229	0.3248050275791229	-0.3248050275791229
Panobinostat	ENSG00000111530	0.3221336561061245	0.3221336561061245	-0.3221336561061245
Panobinostat	ENSG00000092969	0.3169805874376731	0.3169805874376731	0.3169805874376731
Panobinostat	ENSG00000138119	0.31282977843511345	0.31282977843511345	0.31282977843511345
Panobinostat	ENSG00000142871	0.30383911914214246	0.30383911914214246	0.30383911914214246
Panobinostat	ENSG00000006327	0.30362899248539305	0.30362899248539305	0.30362899248539305
Panobinostat	ENSG00000145623	0.303447657118729	0.303447657118729	0.303447657118729
Panobinostat	ENSG00000005884	0.2965264387099964	0.2965264387099964	0.2965264387099964
Panobinostat	ENSG00000048140	0.2912479227114929	0.2912479227114929	0.2912479227114929
Panobinostat	ENSG00000150687	0.29093385722270954	0.29093385722270954	0.29093385722270954
Panobinostat	ENSG00000189403	0.28778894479412115	0.28778894479412115	-0.28778894479412115
Panobinostat	ENSG00000186594	0.28416490447216813	0.28416490447216813	0.28416490447216813
Panobinostat	ENSG00000075391	0.28350207287982443	0.28350207287982443	0.28350207287982443
Panobinostat	ENSG00000180801	0.2822901816502774	0.2822901816502774	0.2822901816502774
Panobinostat	ENSG00000185567	0.28189973280273184	0.28189973280273184	0.28189973280273184
Panobinostat	ENSG00000118513	0.27999557135325964	0.27999557135325964	-0.27999557135325964
Panobinostat	PRIC285	0.2794597181643694	0.2794597181643694	0.2794597181643694
Panobinostat	ENSG00000185344	0.2768271452677072	0.2768271452677072	-0.2768271452677072
Panobinostat	ENSG00000156136	0.27656214549061875	0.27656214549061875	-0.27656214549061875
Panobinostat	ENSG00000089094	0.2747562257210238	0.2747562257210238	-0.2747562257210238
Panobinostat	ENSG00000186174	0.27463013621492266	0.27463013621492266	0.27463013621492266
Panobinostat	ENSG00000168056	0.2745393532056214	0.2745393532056214	0.2745393532056214
Panobinostat	ENSG00000114019	0.2743860272600789	0.2743860272600789	0.2743860272600789
Panobinostat	ENSG00000148835	0.2743520409962071	0.2743520409962071	-0.2743520409962071
Panobinostat	ENSG00000063660	0.2738631846803126	0.2738631846803126	0.2738631846803126
Panobinostat	ENSG00000124201	0.2738252440969618	0.2738252440969618	0.2738252440969618
Panobinostat	ENSG00000160633	0.2736755186587439	0.2736755186587439	-0.2736755186587439
Panobinostat	GCFC1	0.2736318986829718	0.2736318986829718	-0.2736318986829718
Panobinostat	LRG_493	0.27299918715341237	0.27299918715341237	0.27299918715341237
Panobinostat	ENSG00000175505	0.2720962565864708	0.2720962565864708	0.2720962565864708
Panobinostat	ENSG00000074527	0.2718466276796384	0.2718466276796384	0.2718466276796384
Panobinostat	ENSG00000277354	0.27180946989014826	0.27180946989014826	0.27180946989014826
Panobinostat	ENSG00000166173	0.27146442599876774	0.27146442599876774	0.27146442599876774
Panobinostat	HNRPDL	0.27039327211099323	0.27039327211099323	-0.27039327211099323
Panobinostat	ENSG00000153147	0.2701886071216249	0.2701886071216249	-0.2701886071216249
Panobinostat	ENSG00000164294	0.26996752145054587	0.26996752145054587	0.26996752145054587
Panobinostat	ENSG00000164104	0.26883214994171456	0.26883214994171456	-0.26883214994171456
Panobinostat	ENSG00000177697	0.2682206858947896	0.2682206858947896	0.2682206858947896
Panobinostat	ENSG00000018408	0.2680121066621032	0.2680121066621032	0.2680121066621032
Panobinostat	C6orf162	0.26787785609794007	0.26787785609794007	-0.26787785609794007
Panobinostat	ENSG00000008869	0.2678115559009044	0.2678115559009044	-0.2678115559009044
Panobinostat	ENSG00000198885	0.2672536497749599	0.2672536497749599	-0.2672536497749599
Panobinostat	ENSG00000129474	0.26724812772588535	0.26724812772588535	0.26724812772588535
Panobinostat	ENSG00000105971	0.2668840376067697	0.2668840376067697	0.2668840376067697
Panobinostat	ENSG00000197879	0.2660925373064985	0.2660925373064985	0.2660925373064985
Panobinostat	ENSG00000156304	0.26489697932238976	0.26489697932238976	-0.26489697932238976
Panobinostat	C4orf21	0.26467082066776254	0.26467082066776254	-0.26467082066776254
Panobinostat	ENSG00000130147	0.26424948288332273	0.26424948288332273	0.26424948288332273
Panobinostat	ENSG00000197712	0.2635566246841357	0.2635566246841357	0.2635566246841357
Panobinostat	ENSG00000069399	0.2633692941571651	0.2633692941571651	0.2633692941571651
Panobinostat	ENSG00000050820	0.2630646310702586	0.2630646310702586	0.2630646310702586
Panobinostat	ENSG00000152104	0.2623538020547459	0.2623538020547459	0.2623538020547459
Panobinostat	ENSG00000168286	0.26194251775001987	0.26194251775001987	-0.26194251775001987
Panobinostat	LRG_254	0.26183849728429653	0.26183849728429653	0.26183849728429653
Panobinostat	ENSG00000105974	0.26117732109603947	0.26117732109603947	0.26117732109603947
Panobinostat	ENSG00000172380	0.26110677543555877	0.26110677543555877	0.26110677543555877
