Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score
PF2341066	ENSG00000103187	0.24735252091377774	0.24735252091377774	0.24735252091377774
PF2341066	ENSG00000137962	0.23910853861677744	0.23910853861677744	0.23910853861677744
PF2341066	ENSG00000144959	0.23243251887137903	0.23243251887137903	0.23243251887137903
PF2341066	ENSG00000167553	0.23216630095694987	0.23216630095694987	0.23216630095694987
PF2341066	ENSG00000198792	0.22970115714012737	0.22970115714012737	0.22970115714012737
PF2341066	ENSG00000162517	0.22951205223847176	0.22951205223847176	0.22951205223847176
PF2341066	ENSG00000013588	0.2281087794456536	0.2281087794456536	0.2281087794456536
PF2341066	ENSG00000163154	0.22592641597857055	0.22592641597857055	-0.22592641597857055
PF2341066	ENSG00000138180	0.22559578098754984	0.22559578098754984	0.22559578098754984
PF2341066	ZNF192	0.22460847270946008	0.22460847270946008	-0.22460847270946008
PF2341066	ENSG00000106404	0.22249997561633125	0.22249997561633125	-0.22249997561633125
PF2341066	ENSG00000124702	0.2192094350740853	0.2192094350740853	-0.2192094350740853
PF2341066	ENSG00000106617	0.21912092808108946	0.21912092808108946	0.21912092808108946
PF2341066	ENSG00000075826	0.218726872033583	0.218726872033583	-0.218726872033583
PF2341066	ENSG00000137936	0.21741142579370484	0.21741142579370484	0.21741142579370484
PF2341066	ENSG00000112062	0.21491413227168846	0.21491413227168846	-0.21491413227168846
PF2341066	ENSG00000276644	0.21437068616798372	0.21437068616798372	-0.21437068616798372
PF2341066	ENSG00000117399	0.21305039127415856	0.21305039127415856	0.21305039127415856
PF2341066	ENSG00000119760	0.21295793848590983	0.21295793848590983	-0.21295793848590983
PF2341066	ENSG00000188643	0.2117387239271055	0.2117387239271055	0.2117387239271055
PF2341066	ENSG00000114019	0.21131495602864267	0.21131495602864267	0.21131495602864267
PF2341066	LOC100505875	0.2112029557782209	0.2112029557782209	-0.2112029557782209
PF2341066	ENSG00000154127	0.2107675878735173	0.2107675878735173	0.2107675878735173
PF2341066	ENSG00000170836	0.20959182881012225	0.20959182881012225	-0.20959182881012225
