Response	Gene ENSEMBL ID	quantitative sorting score	visualization score	baseline score	Percent appearing in restart set
Panobinostat	ENSG00000005884	0.006384204570634631	1.0	0.3006811507182811	1.0
Panobinostat	ENSG00000092969	0.006378722632896644	0.9995102080635946	0.31564724660897686	1.0
Panobinostat	ENSG00000111605	0.006197708636895796	0.9833372415223302	-0.32502011822765653	1.0
Panobinostat	ENSG00000168056	0.0058628099133189	0.953415213553311	0.30360307624490646	1.0
Panobinostat	ENSG00000145623	0.005675129577300542	0.9366466328803341	0.29734682429376097	1.0
Panobinostat	ENSG00000082781	0.0056714837606025095	0.9363208919278357	0.25080252891682575	1.0
Panobinostat	ENSG00000177697	0.00565031947025201	0.9344299367129327	0.2856964324587837	1.0
Panobinostat	ENSG00000189403	0.005626032447498176	0.9322599762951602	-0.2958814192804305	1.0
Panobinostat	ENSG00000006327	0.005611202145858023	0.930934940786735	0.29616459296493197	1.0
Panobinostat	ENSG00000153147	0.005516545176428352	0.9224776721041721	-0.2843418817766728	1.0
Panobinostat	ENSG00000142871	0.005433694027946376	0.9150752121734049	0.2841509351666765	1.0
Panobinostat	ENSG00000118513	0.0054145209726409035	0.9133621668354756	-0.287373482488918	1.0
Panobinostat	ENSG00000180801	0.005388907485214558	0.9110736914451557	0.28528771743869413	1.0
Panobinostat	ENSG00000138119	0.005371396905537781	0.9095091824818304	0.28452101157108367	1.0
Panobinostat	ENSG00000198265	0.005297885494389767	0.9029411953694285	-0.27629308131561103	1.0
Panobinostat	ENSG00000083544	0.005296607984174895	0.9028270543062085	-0.27675801667796923	1.0
Panobinostat	ENSG00000185567	0.0052581253373067075	0.8993887645939832	0.27810779773100097	1.0
Panobinostat	ENSG00000148835	0.005242207821056274	0.897966590268098	-0.2774808538382805	1.0
Panobinostat	ENSG00000168286	0.005237683911509048	0.8975623947950438	-0.2759006233277929	1.0
Panobinostat	ENSG00000160633	0.005232613642864276	0.8971093840502463	-0.2732737286683795	1.0
Panobinostat	ENSG00000075391	0.005230650415595435	0.8969339765699776	0.27736394672813913	1.0
Panobinostat	ENSG00000156136	0.005230359921420159	0.8969080219328724	-0.2765346929128705	1.0
Panobinostat	ENSG00000156304	0.0052233705147193945	0.8962835429245518	-0.27447223425002804	1.0
Panobinostat	ENSG00000164104	0.0052089568864269135	0.8949957357203431	-0.2730646590796318	1.0
Panobinostat	ENSG00000175505	0.005180885657540876	0.8924876697388378	0.259645213947501	1.0
Panobinostat	ENSG00000138346	0.005179355983259621	0.8923509986994909	-0.2658867606451305	1.0
Panobinostat	ENSG00000051180	0.005173839934667665	0.8918581590777566	-0.26779898502761873	1.0
Panobinostat	ENSG00000089094	0.005145362557043248	0.8893138051290128	-0.27423766976541103	1.0
Panobinostat	ENSG00000105974	0.005141835444047084	0.8889986699365167	0.25607556953986466	1.0
Panobinostat	ENSG00000128342	0.005134862805250847	0.888375689081736	0.2656943874033459	1.0
Panobinostat	ENSG00000114019	0.005118357368327623	0.8869009861029287	0.2705903665248637	1.0
Panobinostat	ENSG00000077097	0.005105514816556371	0.8857535490831973	-0.2650981022112616	1.0
Panobinostat	ENSG00000074527	0.005099774113812069	0.8852406373998016	0.26990233749504766	1.0
Panobinostat	ENSG00000138668	0.0050683371769101645	0.882431857195469	-0.26300977345507776	1.0
Panobinostat	ENSG00000063660	0.005053975204483959	0.8811486652619873	0.2674759227317283	1.0
Panobinostat	ENSG00000105971	0.005052806203375361	0.8810442191073597	0.26488897521206795	1.0
Panobinostat	ENSG00000050820	0.005041008048509754	0.8799900952931481	0.2634164244605674	1.0
Panobinostat	ENSG00000136450	0.005033746499369913	0.8793413013110746	-0.26183684594705253	1.0
Panobinostat	ENSG00000185344	0.005030903462685439	0.8790872859410511	-0.26734955344245714	1.0
Panobinostat	ENSG00000108506	0.00503026898735596	0.8790305977926117	-0.2639885093746707	1.0
Panobinostat	ENSG00000115641	0.005023535382083571	0.8784289737459722	0.24701734065666558	1.0
Panobinostat	ENSG00000102974	0.005012081313843779	0.8774055928666138	-0.25815195393416696	1.0
Panobinostat	ENSG00000005156	0.0050009669855690985	0.876412566563199	-0.2625062701234943	1.0
Panobinostat	ENSG00000197299	0.004989162210884696	0.875357851291364	-0.25022656835904705	1.0
Panobinostat	ENSG00000071626	0.004979422846280367	0.8744876731760857	-0.2617739552929961	1.0
Panobinostat	ENSG00000166860	0.0049556903254245055	0.8723672555607545	-0.26293435577115537	1.0
Panobinostat	ENSG00000176208	0.004954806295871578	0.8722882706165134	-0.2589808893184426	1.0
Panobinostat	ENSG00000164294	0.004954431003310874	0.8722547395406766	0.2629961616104097	1.0
Panobinostat	ENSG00000085840	0.004947809480414097	0.8716631296617293	-0.2593607622315757	1.0
Panobinostat	ENSG00000120071	0.004946189231267728	0.8715183660754229	-0.2607102276054519	1.0
Panobinostat	ENSG00000150687	0.00494024330821134	0.8709871186759265	0.2619189275289779	1.0
Panobinostat	ENSG00000140521	0.004939656592799403	0.8709346977088405	-0.26094758783466687	1.0
Panobinostat	ENSG00000129474	0.004929979785182061	0.8700701088412437	0.2587385284139315	1.0
Panobinostat	ENSG00000129993	0.004925834684152992	0.8696997585825103	-0.26072340436978514	1.0
Panobinostat	ENSG00000186106	0.004925185798171654	0.8696417828928005	-0.2617431010077977	1.0
Panobinostat	ENSG00000135486	0.004915192732707893	0.8687489374943191	-0.25134174088989586	1.0
Panobinostat	ENSG00000166173	0.004911196376584043	0.868391877071888	0.26047490656550865	1.0
Panobinostat	ENSG00000062650	0.004896256891641827	0.8670570864178381	-0.25855447416622374	1.0
Panobinostat	ENSG00000018408	0.004895582399342486	0.8669968228933007	0.25945526497756694	1.0
Panobinostat	ENSG00000153574	0.004890476807187435	0.8665406561165805	-0.25785483771425055	1.0
Panobinostat	ENSG00000172380	0.0048866120788248636	0.8661953561735933	0.25738392441773045	1.0
Panobinostat	ENSG00000030066	0.004879444407390599	0.8655549498357067	-0.2576148062158478	1.0
Panobinostat	ENSG00000135316	0.004873607400430847	0.8650334337079661	-0.257651537774306	1.0
Panobinostat	ENSG00000142627	0.004872694580257107	0.8649518764225946	0.24986490204758122	1.0
Panobinostat	ENSG00000177125	0.004869381793101125	0.8646558904932427	-0.2582080309675314	1.0
Panobinostat	ENSG00000120519	0.004863658294212334	0.8641445159140807	-0.25768064024013976	1.0
Panobinostat	ENSG00000107672	0.004861326426725838	0.8639361717215266	-0.2571195636949654	1.0
Panobinostat	ENSG00000169598	0.004859255675812828	0.8637511573802531	-0.25563575146731143	1.0
Panobinostat	ENSG00000127337	0.004855206557515467	0.8633893828424182	-0.25572708208447553	1.0
Panobinostat	ENSG00000008869	0.004849823063892829	0.8629083865429186	-0.25678534205194686	1.0
Panobinostat	ENSG00000055917	0.00484930853240408	0.862862414956545	-0.25812565184481545	1.0
Panobinostat	ENSG00000145332	0.0048398351298841085	0.8620159996219722	-0.25686631034353485	1.0
Panobinostat	ENSG00000197324	0.004839265914706831	0.8619651422395582	0.2550644833355426	1.0
Panobinostat	ENSG00000168615	0.0048391530267174855	0.8619550560931004	0.24773000483307966	1.0
Panobinostat	ENSG00000112118	0.004825109547283837	0.8607003203929822	-0.254215142610293	1.0
Panobinostat	ENSG00000138757	0.004807826433588201	0.8591561347183724	-0.25375180423561344	1.0
Panobinostat	ENSG00000152104	0.004795160965024549	0.8580245194630061	0.25473371818688234	1.0
Panobinostat	ENSG00000136381	0.004794765269129278	0.8579891654206881	-0.2542914460016754	1.0
Panobinostat	ENSG00000162521	0.004790661613932239	0.8576225182018827	-0.24635786024100909	1.0
Panobinostat	ENSG00000197712	0.004779536196114053	0.8566285010865968	0.2526548961054796	1.0
Panobinostat	ENSG00000197879	0.00476812938651116	0.855609342600922	0.2536942081724854	1.0
Panobinostat	ENSG00000178691	0.004766769309408229	0.8554878244754444	-0.25067469167859396	1.0
Panobinostat	ENSG00000175592	0.004752355516171523	0.8542000025340467	0.2530486490239612	1.0
Panobinostat	ENSG00000138796	0.004748252866068672	0.8538334451168867	-0.25155266200291926	1.0
Panobinostat	ENSG00000189079	0.004745150011105311	0.8535562158936579	-0.2516278383853038	1.0
Panobinostat	ENSG00000213390	0.004743962854656894	0.8534501476230066	-0.2509679110611608	1.0
Panobinostat	ENSG00000163026	0.004736003261720473	0.852738985872607	-0.2510654756438503	1.0
Panobinostat	ENSG00000146414	0.004734330908845837	0.8525895670006731	-0.24879287534291095	1.0
Panobinostat	ENSG00000120708	0.00472203409691407	0.851490889924146	0.2492678345702055	1.0
Panobinostat	ENSG00000159055	0.004721272573773518	0.851422850498772	-0.2491510817409697	1.0
Panobinostat	ENSG00000181274	0.004700107595315338	0.8495318338038578	-0.24932024834538166	1.0
Panobinostat	ENSG00000198363	0.004699604365418645	0.8494868719751507	0.24931999842775315	1.0
Panobinostat	ENSG00000137815	0.004695675093048924	0.8491358052511904	-0.24771244364567646	1.0
Panobinostat	ENSG00000124145	0.004691377524780601	0.8487518325786458	0.2482882911699129	1.0
Panobinostat	ENSG00000167767	0.004666751034511819	0.8465515419273975	0.2474583088554604	1.0
Panobinostat	ENSG00000143919	0.0046589907284228065	0.8458581857588116	-0.24724690097502622	1.0
Panobinostat	ENSG00000072736	0.00465137818779709	0.8451780319168227	-0.24654773565907823	1.0
Panobinostat	ENSG00000198885	0.004644568970812088	0.8445696522284912	-0.24656690429490397	1.0
Panobinostat	ENSG00000155189	0.004635709872914393	0.8437781228603171	-0.2463788077541836	1.0
Panobinostat	ENSG00000163626	0.004635095020848513	0.8437231879817497	-0.24639649961861973	1.0
Panobinostat	ENSG00000132603	0.0023511971241945546	0.6396649102667192	-0.14594411785742936	0.0
Panobinostat	ENSG00000082701	0.002195573068662623	0.6257604459781014	-0.15703697885763537	0.0
Panobinostat	ENSG00000134352	0.002176857938576931	0.6240883146546766	0.2343759157510131	0.0
Panobinostat	ENSG00000198399	0.0016381053546201938	0.5759526582587413	-0.10760168249939726	0.0
Panobinostat	ENSG00000113594	0.0014572225274066468	0.5597914111892038	0.1641615925708436	0.0
Panobinostat	ENSG00000122756	0.0014175941137363269	0.5562507512262557	0.044786579739518766	0.0
Panobinostat	ENSG00000122515	0.0014012193438102186	0.5547877228859796	0.05876941871215619	0.0
Panobinostat	ENSG00000166033	0.0011704554043683577	0.5341697731474075	0.17812563942063364	0.0
Panobinostat	ENSG00000127191	0.0011320164227122383	0.5307353847689432	-0.013946563151544035	0.0
Panobinostat	ENSG00000056558	0.0010069613491679775	0.519562151953083	-0.03597027855096655	0.0
Panobinostat	ENSG00000006016	0.0008253190878658394	0.5033330521076471	0.042876002477506496	0.0
Panobinostat	ENSG00000116288	0.0007584578138451264	0.49735923145546823	-0.06422154644832545	0.0
Panobinostat	ENSG00000138448	0.0007559904203046067	0.4971387784846672	0.2398886310732071	0.0
Panobinostat	ENSG00000186395	0.0006295565584414663	0.48584235576172025	0.09263146440907095	0.0
Panobinostat	ENSG00000130764	0.0006165579937111911	0.48468097953053524	-0.0809786632316302	0.0
Panobinostat	ENSG00000095397	0.0005987230958448342	0.4830874938728953	-0.01129515793731008	0.0
Panobinostat	ENSG00000122952	0.0005790411340087999	0.48132897951890496	-0.15001316184420327	0.0
Panobinostat	ENSG00000167842	0.0005718645103559229	0.4806877733316404	-0.12150712624602883	0.0
Panobinostat	ENSG00000171346	0.0005673382800969644	0.48028337051112124	0.19529059190579046	0.0
Panobinostat	ENSG00000141736	0.0005610045762212475	0.4797174762536199	0.037556434942563076	0.0
Panobinostat	ENSG00000099985	0.0005262810202749178	0.4766150481490491	-0.009377633319010245	0.0
Panobinostat	ENSG00000105329	0.0005093197997242433	0.47509962249951093	0.08117846782295242	0.0
Panobinostat	ENSG00000198356	0.0005031965747887843	0.47455253379811935	0.08170938107063691	0.0
Panobinostat	ENSG00000115414	0.0004819077201889799	0.4726504492038272	0.17781740305812246	0.0
Panobinostat	ENSG00000091409	0.0004733321522055414	0.4718842522404286	0.17668169769580516	0.0
Panobinostat	ENSG00000139112	0.0004522515800435825	0.47000077695244885	0.16562811442007858	0.0
Panobinostat	ENSG00000101104	0.00042266538400262854	0.4673573539618233	-0.02521344412422153	0.0
Panobinostat	ENSG00000085117	0.0004041839530719176	0.4657061028393649	0.13993302662562504	0.0
Panobinostat	ENSG00000280987	0.00040365704406477014	0.4656590253650748	-0.23064136327670012	0.0
Panobinostat	ENSG00000143621	0.00039734052582931183	0.4650946665843379	-0.1966937166555036	0.0
Panobinostat	ENSG00000183207	0.0003919804413686971	0.4646157618114745	-0.10220188193639117	0.0
Panobinostat	ENSG00000116039	0.00038983904504892553	0.4644244355505423	0.05824484828084427	0.0
Panobinostat	ENSG00000175792	0.0003888209954765249	0.4643334763869663	-0.17155580971873907	0.0
Panobinostat	ENSG00000113712	0.00038493222324836163	0.4639860282088023	0.019065672995873476	0.0
Panobinostat	ENSG00000116750	0.0003806470478244123	0.4636031627934967	-0.15302203728482477	0.0
Panobinostat	ENSG00000171720	0.0003766526625686072	0.4632462784612225	-0.04900164985557455	0.0
Panobinostat	ENSG00000050748	0.0003752791350023755	0.46312355858395915	0.10770344209435817	0.0
Panobinostat	ENSG00000113070	0.00037368869763135644	0.46298145857536455	0.1794952521338261	0.0
Panobinostat	ENSG00000162434	0.00036921856950318467	0.46258206828373344	0.034218120174909	0.0
Panobinostat	ENSG00000132589	0.00034639557962046934	0.4605429140752211	-0.12417729090461525	0.0
Panobinostat	ENSG00000134871	0.00034552811348315387	0.46046540901415156	0.16687048792118903	0.0
Panobinostat	ENSG00000142192	0.0003452632458439256	0.46044174401828525	0.1633983294646072	0.0
Panobinostat	ENSG00000115233	0.00034033405800295213	0.4600013383491718	0.00772196479001762	0.0
Panobinostat	ENSG00000108055	0.00033299205183056507	0.4593453558130411	-0.10669852818870092	0.0
Panobinostat	ENSG00000158864	0.0003299567700534407	0.4590741640173276	-0.09321820405225965	0.0
Panobinostat	ENSG00000187498	0.00032177291368045617	0.4583429651143535	0.15749922205119646	0.0
Panobinostat	ENSG00000125482	0.00030366882679422693	0.45672542836062224	-0.1975532152879098	0.0
Panobinostat	ENSG00000139219	0.0003030090750518835	0.45666648185322395	-0.0605824916308998	0.0
Panobinostat	ENSG00000102054	0.000291793790963126	0.45566443550141916	-0.08209277611445279	0.0
Panobinostat	ENSG00000104969	0.0002815661018902923	0.4547506273052363	-0.10641227735914004	0.0
Panobinostat	ENSG00000101336	0.0002811856749449361	0.4547166374901139	-0.11545673118298401	0.0
Panobinostat	ENSG00000034713	0.00027422314309449717	0.4540945596555407	-0.06946323311453123	0.0
Panobinostat	ENSG00000145715	0.00026000885630574836	0.4528245629164969	0.06739128360847667	0.0
Panobinostat	ENSG00000107643	0.00025928752628295263	0.45276011460541804	-0.11265516687454187	0.0
Panobinostat	ENSG00000131747	0.0002585167425712628	0.45269124778044806	-0.12558663811086646	0.0
Panobinostat	ENSG00000178075	0.0002584993084135298	0.4526896900995177	0.06951538872137825	0.0
