	run_bootstrap_net_correlation
ENSG00000170373	1.0
ENSG00000108798	0.9999101365923796
ENSG00000154175	0.9998202731847592
ENSG00000139146	0.9997304097771388
ENSG00000170293	0.9996405463695184
ENSG00000171431	0.9995506829618979
ENSG00000136698	0.9994608195542775
ENSG00000100373	0.999370956146657
ENSG00000188620	0.9992810927390366
ENSG00000175766	0.9991912293314162
ENSG00000118407	0.9991013659237958
ENSG00000015413	0.9990115025161754
ENSG00000118705	0.998921639108555
ENSG00000125898	0.9988317757009346
ENSG00000033030	0.9987419122933142
ENSG00000174460	0.9986520488856937
ENSG00000103375	0.9985621854780733
ENSG00000152464	0.9984723220704529
ENSG00000104218	0.9983824586628325
ENSG00000282210	0.9982925952552121
ENSG00000147262	0.9982027318475917
ENSG00000243009	0.9981128684399713
ENSG00000144736	0.9980230050323509
ENSG00000137960	0.9979331416247305
ENSG00000080603	0.9978432782171099
ENSG00000204188	0.9977534148094895
ENSG00000156313	0.9976635514018691
ENSG00000170369	0.9975736879942487
ENSG00000114113	0.9974838245866283
ENSG00000277339	0.9973939611790079
ENSG00000230907	0.9973040977713875
ENSG00000043355	0.9972142343637671
ENSG00000167208	0.9971243709561467
ENSG00000166452	0.9970345075485263
ENSG00000277092	0.9969446441409058
ENSG00000179855	0.9968547807332854
ENSG00000125351	0.996764917325665
ENSG00000171772	0.9966750539180446
ENSG00000110375	0.9965851905104242
ENSG00000062650	0.9964953271028038
ENSG00000154889	0.9964054636951833
ENSG00000187474	0.9963156002875629
ENSG00000138109	0.9962257368799425
ENSG00000157326	0.996135873472322
ENSG00000240857	0.9960460100647016
ENSG00000135437	0.9959561466570812
ENSG00000005421	0.9958662832494608
ENSG00000134910	0.9957764198418404
ENSG00000132963	0.99568655643422
ENSG00000184731	0.9955966930265996
ENSG00000138698	0.9955068296189792
ENSG00000071203	0.9954169662113588
ENSG00000119927	0.9953271028037384
ENSG00000203722	0.9952372393961179
ENSG00000136842	0.9951473759884975
ENSG00000172340	0.995057512580877
ENSG00000029725	0.9949676491732566
ENSG00000171566	0.9948777857656362
ENSG00000101441	0.9947879223580158
ENSG00000134716	0.9946980589503954
ENSG00000116726	0.994608195542775
ENSG00000198961	0.9945183321351546
ENSG00000182179	0.9944284687275341
ENSG00000134697	0.9943386053199137
ENSG00000198205	0.9942487419122933
ENSG00000144852	0.9941588785046729
ENSG00000204130	0.9940690150970525
ENSG00000138472	0.9939791516894321
ENSG00000163684	0.9938892882818117
ENSG00000103351	0.9937994248741913
ENSG00000139726	0.9937095614665709
ENSG00000186115	0.9936196980589503
ENSG00000134324	0.9935298346513299
ENSG00000153551	0.9934399712437095
ENSG00000172500	0.9933501078360891
ENSG00000129422	0.9932602444284687
ENSG00000112893	0.9931703810208483
ENSG00000094975	0.9930805176132279
ENSG00000129116	0.9929906542056075
ENSG00000182901	0.9929007907979871
ENSG00000163611	0.9928109273903667
ENSG00000112559	0.9927210639827462
ENSG00000120498	0.9926312005751258
ENSG00000174721	0.9925413371675054
ENSG00000135776	0.992451473759885
ENSG00000232119	0.9923616103522646
ENSG00000198399	0.9922717469446442
ENSG00000143858	0.9921818835370237
ENSG00000104356	0.9920920201294033
ENSG00000175115	0.9920021567217829
ENSG00000141076	0.9919122933141624
ENSG00000035403	0.991822429906542
ENSG00000115252	0.9917325664989216
ENSG00000113722	0.9916427030913012
ENSG00000122678	0.9915528396836808
ENSG00000149294	0.9914629762760604
ENSG00000006025	0.99137311286844
ENSG00000113441	0.9912832494608196
ENSG00000135604	0.9911933860531992
ENSG00000137507	0.9911035226455788
ENSG00000176014	0.9910136592379583
ENSG00000011021	0.9909237958303379
ENSG00000167207	0.9908339324227174
ENSG00000075415	0.990744069015097
ENSG00000147642	0.9906542056074766
ENSG00000125877	0.9905643421998562
ENSG00000148942	0.9904744787922358
ENSG00000178718	0.9903846153846154
ENSG00000105668	0.990294751976995
ENSG00000163312	0.9902048885693745
ENSG00000177239	0.9901150251617541
ENSG00000125813	0.9900251617541337
ENSG00000197409	0.9899352983465133
ENSG00000102837	0.9898454349388929
ENSG00000167272	0.9897555715312725
ENSG00000144744	0.9896657081236521
ENSG00000166197	0.9895758447160317
ENSG00000129910	0.9894859813084113
ENSG00000167780	0.9893961179007909
ENSG00000165841	0.9893062544931703
ENSG00000152503	0.9892163910855499
ENSG00000139133	0.9891265276779295
ENSG00000130303	0.9890366642703091
ENSG00000154743	0.9889468008626887
ENSG00000183196	0.9888569374550683
ENSG00000123411	0.9887670740474479
ENSG00000007372	0.9886772106398275
ENSG00000140943	0.9885873472322071
